filename,person_name,undergraduate,masters,phd,notes
0a2e1a2533b348e2aad78cfe720ea38d.pdf,Wilbur John Coleman II,University of Wisconsin,,University of Chicago,
0a2f360f7c0f453489e8f53ed6970a3e.pdf,Jeremy I. Bulow,Yale University,Yale University,Massachusetts Institute of Technology,
0a5c36e3fff248f3a7c5beb14420e217.pdf,Shelley J. Correll,Texas A&M University,Stanford University,Stanford University,
0a7c9bdaced243c6bfe81a0763868a5b.pdf,Tom Meyvis,Catholic University of Leuven,Catholic University of Leuven,University of Florida,Multiple undergraduate degrees from Catholic University of Leuven
0a4eb597f65346f6983f3fcafc85db93.pdf,Elliott Norman Weiss,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,Multiple masters degrees from University of Pennsylvania | University of Pennsylvania: Attended The Wharton School
0a3c39840867430f83d1734e17cbcfff.pdf,Omar Rodriguez-Vila,Syracuse University,Northwestern University,Emory University,Northwestern University: Attended Kellogg School of Management | Emory University: Attended Goizueta Business School
0a0dde62f171471bbe3c8d2018d34b87.pdf,Maxim Sytch,Oklahoma City University,Oklahoma City University,Northwestern University,Northwestern University: Attended Kellogg School of Management | Oklahoma City University: Attended Meinders School of Business | Study Abroad at Oklahoma City University: Moscow State University (Ulyanovsk Branch)
0a4ae962a70c4d09b639473674530d05.pdf,N. Bora Keskin,Boğazici University,,Stanford University,Multiple undergraduate degrees from Boğazici University | Stanford University: Attended Graduate School of Business
0a6a4e7883b944f285f3a2699da958da.pdf,Donald D. Eisenstein,Southern Methodist University,Georgia Institute of Technology,Georgia Institute of Technology,Multiple undergraduate degrees from Southern Methodist University
0a14b99ece9045298082be598d5805a9.pdf,Venkat Ramaswamy,Indian Institute of Technology,,University of Pennsylvania,University of Pennsylvania: Attended The Wharton School
